# 3193 unresolved booktitles sorted by row frequency
# 309624 unresolved conference rows
# rows	booktitle

1305	IAS
1227	ICEC
1075	TSD
1027	ICIC (1)
1015	ICIC (2)
969	ICEIS (1)
960	ICCA
938	NEMS
920	DFT
906	ICEIS (2)
795	ICEIS (3)
753	IDC
751	CSMR
746	KI
709	CTS
691	HSCC
684	PARA
679	GCC
678	LISA
676	PATMOS
654	ICEIS
646	CSCL
641	MSN
641	MUE
632	PCM
629	NBiS
626	ICEBE
623	ICITST
611	ISPD
610	VMV
605	CIMCA/IAWTIC
605	CRV
590	ARCS
590	ICDMA
589	RIAO
586	ICIC (3)
586	ICWN
586	INCoS
579	JISBD
577	INFORSID
575	BDA
573	ISWC
569	EGOV
561	GIL Jahrestagung
560	PICS
559	SoSE
555	NCM
554	RAM
547	AAECC
545	APL
534	ICYCS
529	LSSC
528	Asia International Conference on Modelling and Simulation
526	ICEIS (4)
525	CGIV
519	CSE
519	IMR
512	BIC-TA
510	BCB
510	SiPS
505	BNCOD
501	WKDD
500	ELPUB
497	EMS
497	ICGA
495	INFOS
493	ACRI
492	PReMI
490	VRCAI
483	AHS
476	CNSR
474	FSE
471	ISPE CE
466	TSP
464	Kommunikation in Verteilten Systemen
458	AMAST
456	DELTA
448	BWCCA
446	AVSP
445	ICCC
445	ISC
445	SimuTools
442	AIPR
436	NTMS
432	DMIN
430	ITCC
429	PETRA
427	BIOSIGNALS
426	IHM
425	Peer-to-Peer Computing
424	RSFDGrC
423	HEALTHINF
423	WPMC
422	Conf. Computing Frontiers
422	Fuzzy Days
422	IMIS
422	MLDM
418	URAI
417	SIGSOFT FSE
415	VECPAR
414	RCIS
412	EC-Web
412	ICIRA (1)
412	ICT
411	CAD/Graphics
411	CONIELECOMP
411	IRMA Conference
410	3DPVT
410	ESM
409	IBERAMIA
408	DeLFI
407	ICMB
404	CSB
404	EW
404	Simulationstechnik
402	AMS
399	ICIRA (2)
399	SI3D
398	GWAI
396	CCIA
396	QEST
396	SEAL
395	MBMV
393	ICON
392	IbPRIA
391	ACSC
390	EUROSIM
386	CICSyN
385	IEEM
383	RIVF
382	ASIAN
382	WHC
379	CORIA
378	MMB
375	IEEE VAST
375	SCAI
374	SCCC
373	ECCTD
373	ISCSLP
373	SIGMAP
372	ANTS
372	Software Engineering (Workshops)
371	CONPAR
371	FECS
371	Software Engineering
371	VECIMS
369	IMCSIT
368	WASA
367	POLICY
365	OSS
363	IMSA
362	Wireless Days
361	Rough Sets and Current Trends in Computing
361	WIAMIS
360	I3E
359	CPR
359	SmartGridComm
358	ASYNC
358	DMS
357	DBTA
357	OR
356	Software-Ergonomie
354	CSC
353	ICMENS
352	EIT
352	HAPTICS
351	EWDTS
345	BIODEVICES
345	MMVR
344	3DIC
344	CSNDSP
344	MAVEBA
343	3DIM
343	COMSWARE
343	CSSE (5)
343	FGCS
343	OOIS
343	Parallel and Distributed Computing and Networks
341	ICEEI
341	PROLAMAT
341	SKG
338	ECCE
338	ISSPIT
337	AMT
337	BIFE
336	3PGCIC
336	ERSA
336	HLDVT
335	ANLP
335	AVBPA
334	COSIT
334	Informatiktage
334	NAS
333	SBRN
332	NEW2AN
328	SoCPaR
328	Web3D
327	DEBS
327	ICARIS
327	SETN
325	ENC
324	AIIDE
324	INEX
324	SOCA
323	ADHOC-NOW
322	CASoN
321	SLT
319	EURO-DAC
318	CSR
318	ICSAMOS
317	iConference
317	MCIS
316	International Conference on Evolutionary Computation
316	Shape Modeling International
315	IScIDE
315	ISSA
314	FIMH
314	ITCC (2)
312	MSV
311	ARCS Workshops
311	IEEE Pacific Rim Conference on Multimedia
310	CCE
310	VISUAL
309	3DUI
308	PARELEC
308	PWC
308	ROCLING
308	WORDS
305	DRR
305	FIT
305	ICDSC
305	NAA
304	Ershov Memorial Conference
304	SIES
303	IQ
303	IWSLT
303	SPIN
302	CSSE (1)
302	EMMCVPR
302	ICSI (1)
302	ITA
301	APCHI
301	SEDE
300	CSER
300	ICMAS
299	CSIIRW
299	ICSI (2)
299	PLILP
298	IS&N
298	SBBD
296	FTDCS
296	WPNC
294	DCFS
293	ICFIE
293	SASO
292	APPT
292	Communications and Multimedia Security
292	CONTEXT
292	INFOVIS
292	Intelligent Environments (Workshops)
289	PCM (2)
289	WCNIS
288	AICT
288	ICGI
287	DSV-IS
286	ANT/MobiWIS
285	RSCTC
284	WILF
284	WOCN
283	ITCC (1)
283	LWA
283	Mobility Conference
282	ESEC/SIGSOFT FSE
282	GMDS
282	ICE-B
281	ICGEC
281	ISHPC
281	WWIC
280	Gesture Workshop
280	GRAPHITE
