# 226 unresolved DBLP journal names
# Format: best_score | rows | dblp_name

0.90 | 1956 | JCP
0.90 | 516 | JCM
0.00 | 489 | Adaptive Behaviour
0.00 | 458 | In Silico Biology
0.90 | 452 | Procedia CS
0.00 | 443 | JDIM
0.00 | 438 | Cybernetics and Human Knowing
0.00 | 429 | Datenbank-Spektrum
0.00 | 423 | Reliable Computing
0.00 | 399 | BIAA
0.00 | 386 | IJBIS
0.00 | 375 | IJCNS
0.00 | 373 | RASI
0.00 | 335 | Cryptologia
0.00 | 325 | Digital Investigation
0.00 | 324 | IJBRA
0.00 | 306 | IJISTA
0.00 | 304 | IJNVO
0.00 | 299 | JDCTA
0.00 | 290 | IJWBC
0.00 | 284 | FO & DM
0.00 | 275 | KES Journal
0.90 | 267 | JIP
0.00 | 262 | EG
0.00 | 261 | IJWMC
0.00 | 258 | Document Numérique
0.00 | 245 | SIGecom Exchanges
0.00 | 237 | IJDC
0.90 | 235 | ISSE
0.00 | 229 | JAMDS
0.00 | 229 | LDV Forum
0.90 | 227 | JGIM
0.00 | 227 | Robotersysteme
0.00 | 223 | L'OBJET
0.00 | 221 | IJCSA
0.90 | 218 | iJIM
0.90 | 213 | IJMR
0.00 | 203 | IJMSO
0.00 | 202 | Formalized Mathematics
0.00 | 200 | JTHTL
0.00 | 198 | Poiesis & Praxis
0.00 | 197 | IJHPCN
0.00 | 197 | IJIIDS
0.95 | 193 | IEEE Concurrency
0.90 | 193 | IJSS
0.00 | 181 | IJMEI
0.00 | 181 | Space Communications
0.00 | 178 | RITA
0.00 | 173 | Internet Mathematics
0.00 | 167 | IJBIDM
0.00 | 167 | JIDM
0.00 | 167 | VLSI Design
0.00 | 160 | IJCAET
0.00 | 158 | IWBS Report
0.00 | 149 | Webology
0.00 | 146 | IJAACS
0.00 | 146 | Journal of WSCG
0.00 | 144 | Electronic Publishing
0.00 | 140 | IJCLCLP
0.00 | 139 | IxD&A
0.00 | 137 | IJICT
0.00 | 135 | EMISA Forum
0.00 | 134 | ARIST
0.00 | 132 | IJIMAI
0.00 | 132 | IJWLTT
0.00 | 130 | OR Insight
0.00 | 128 | Game Studies
0.00 | 126 | IJISCM
0.00 | 115 | JITR
0.00 | 114 | IJAIP
0.00 | 109 | IJIDS
0.00 | 108 | IJAPUC
0.00 | 103 | IJBPSCM
0.00 | 103 | IJSSCI
0.00 | 97 | Adv. Bioinformatics
0.00 | 97 | IJHPSA
0.00 | 97 | TAPOS
0.00 | 96 | Smart CR
0.00 | 95 | IJWA
0.00 | 95 | Kognitionswissenschaft
0.00 | 94 | T. Petri Nets and Other Models of Concurrency
0.00 | 93 | IJAOM
0.00 | 93 | IJITN
0.00 | 92 | IJKSR
0.00 | 92 | IJMNO
0.00 | 92 | Paladyn
0.00 | 90 | IJICTHD
0.00 | 89 | Grammars
0.00 | 89 | IJWP
0.00 | 89 | JVRB
0.00 | 88 | ITSSA
0.00 | 84 | IJATS
0.00 | 84 | IJIDSS
0.00 | 84 | IJORIS
